seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage
privat,Angebot,1890,control,kleinwagen,1996,manuell,45,polo,80000,8,benzin,volkswagen,nein
privat,Angebot,8400,control,kleinwagen,2008,manuell,80,polo,30000,12,benzin,volkswagen,nein
privat,Angebot,1200,control,kleinwagen,1991,manuell,45,polo,100000,5,benzin,volkswagen,nein
privat,Angebot,3900,control,kleinwagen,2002,manuell,75,polo,100000,4,benzin,volkswagen,nein
privat,Angebot,2990,control,kleinwagen,2002,manuell,64,polo,100000,11,benzin,volkswagen,nein
privat,Angebot,2300,control,kleinwagen,2002,manuell,75,polo,20000,1,benzin,volkswagen,nein
privat,Angebot,10220,control,kleinwagen,2013,manuell,85,polo,50000,11,benzin,volkswagen,nein
privat,Angebot,299,control,kleinwagen,1996,manuell,75,polo,30000,9,benzin,volkswagen,nein
privat,Angebot,23999,control,kleinwagen,2013,manuell,220,polo,30000,11,benzin,volkswagen,nein
privat,Angebot,5800,control,kleinwagen,2007,manuell,80,polo,80000,4,benzin,volkswagen,nein
privat,Angebot,8900,control,kleinwagen,2008,manuell,150,polo,70000,1,benzin,volkswagen,nein
privat,Angebot,8250,control,kleinwagen,2011,manuell,60,polo,70000,4,benzin,volkswagen,nein
privat,Angebot,1500,control,kleinwagen,1996,manuell,60,polo,60000,12,benzin,volkswagen,nein
privat,Angebot,1500,control,kleinwagen,1999,manuell,60,polo,90000,5,benzin,volkswagen,nein
privat,Angebot,8500,control,kleinwagen,2010,manuell,105,polo,60000,4,benzin,volkswagen,nein
privat,Angebot,6499,control,kleinwagen,2009,manuell,80,polo,90000,3,benzin,volkswagen,nein
privat,Angebot,1699,control,kleinwagen,1998,manuell,50,polo,100000,10,benzin,volkswagen,nein
privat,Angebot,2200,control,kleinwagen,1984,manuell,29,polo,60000,7,benzin,volkswagen,nein
privat,Angebot,5950,control,kleinwagen,2008,manuell,80,polo,100000,11,benzin,volkswagen,nein
privat,Angebot,8600,control,kleinwagen,2013,manuell,60,polo,50000,3,benzin,volkswagen,nein
privat,Angebot,8350,control,kleinwagen,2008,manuell,80,polo,20000,3,benzin,volkswagen,nein
privat,Angebot,3500,control,kleinwagen,2008,manuell,60,polo,100000,6,benzin,volkswagen,nein
privat,Angebot,7600,control,kleinwagen,2011,manuell,60,polo,60000,5,benzin,volkswagen,nein
privat,Angebot,6800,control,kleinwagen,2009,manuell,64,polo,60000,3,benzin,volkswagen,nein
privat,Angebot,3900,control,kleinwagen,2005,manuell,54,polo,100000,6,benzin,volkswagen,nein
privat,Angebot,6690,control,kleinwagen,2008,manuell,105,polo,100000,6,benzin,volkswagen,nein
privat,Angebot,3999,control,kleinwagen,2007,manuell,64,polo,90000,4,benzin,volkswagen,nein
privat,Angebot,8300,control,kleinwagen,2011,manuell,86,polo,80000,9,benzin,volkswagen,nein
privat,Angebot,2950,control,kleinwagen,2004,manuell,54,polo,90000,2,benzin,volkswagen,nein
privat,Angebot,8900,control,kleinwagen,2012,manuell,69,polo,80000,6,benzin,volkswagen,nein
privat,Angebot,14299,control,kleinwagen,2015,manuell,90,polo,20000,3,benzin,volkswagen,nein
privat,Angebot,25999,control,kleinwagen,2014,manuell,220,polo,20000,5,benzin,volkswagen,nein
privat,Angebot,9000,control,kleinwagen,2012,manuell,69,polo,70000,10,benzin,volkswagen,nein
privat,Angebot,10750,control,kleinwagen,2014,manuell,90,polo,30000,12,benzin,volkswagen,nein
privat,Angebot,6150,control,kleinwagen,2009,manuell,80,polo,80000,5,benzin,volkswagen,nein
privat,Angebot,4500,control,kleinwagen,2009,manuell,60,polo,100000,6,benzin,volkswagen,nein
privat,Angebot,3599,control,kleinwagen,2005,manuell,60,polo,100000,11,benzin,volkswagen,nein
privat,Angebot,12900,control,kleinwagen,2011,manuell,70,polo,40000,2,benzin,volkswagen,nein
privat,Angebot,6499,control,kleinwagen,2010,manuell,69,polo,90000,2,benzin,volkswagen,nein
privat,Angebot,5500,control,kleinwagen,2006,manuell,80,polo,70000,11,benzin,volkswagen,nein
privat,Angebot,10000,control,kleinwagen,2012,manuell,90,polo,50000,7,benzin,volkswagen,nein
privat,Angebot,4700,control,kleinwagen,2008,manuell,60,polo,80000,12,benzin,volkswagen,nein
privat,Angebot,4000,control,kleinwagen,2009,manuell,69,polo,50000,7,benzin,volkswagen,nein
privat,Angebot,950,control,kleinwagen,1999,manuell,40,polo,100000,9,benzin,volkswagen,nein
privat,Angebot,2250,control,kleinwagen,2000,manuell,60,polo,90000,8,benzin,volkswagen,nein
privat,Angebot,4950,control,kleinwagen,2007,manuell,54,polo,70000,4,benzin,volkswagen,nein
privat,Angebot,8495,control,kleinwagen,2012,manuell,60,polo,50000,2,benzin,volkswagen,nein
privat,Angebot,2900,control,kleinwagen,2001,manuell,50,polo,100000,12,benzin,volkswagen,nein
privat,Angebot,6580,control,kleinwagen,2010,manuell,69,polo,90000,1,benzin,volkswagen,nein
privat,Angebot,6666,control,kleinwagen,2009,manuell,60,polo,60000,12,benzin,volkswagen,nein
privat,Angebot,1249,control,kleinwagen,1997,manuell,50,polo,100000,8,benzin,volkswagen,nein
privat,Angebot,3000,control,kleinwagen,2002,manuell,54,polo,100000,11,benzin,volkswagen,nein
privat,Angebot,9250,control,kleinwagen,2010,manuell,86,polo,60000,9,benzin,volkswagen,nein
privat,Angebot,2999,control,kleinwagen,2000,manuell,60,polo,60000,5,benzin,volkswagen,nein
privat,Angebot,7999,control,kleinwagen,2010,manuell,86,polo,80000,4,benzin,volkswagen,nein
privat,Angebot,7550,control,kleinwagen,2009,manuell,105,polo,50000,2,benzin,volkswagen,nein
privat,Angebot,8500,control,kleinwagen,2010,manuell,86,polo,30000,3,benzin,volkswagen,nein
privat,Angebot,6590,control,kleinwagen,2008,manuell,80,polo,60000,11,benzin,volkswagen,nein
privat,Angebot,7399,control,kleinwagen,2010,manuell,86,polo,70000,4,benzin,volkswagen,nein
privat,Angebot,4890,control,kleinwagen,2007,manuell,54,polo,100000,2,benzin,volkswagen,nein
privat,Angebot,9200,control,kleinwagen,2012,manuell,86,polo,40000,4,benzin,volkswagen,nein
privat,Angebot,5990,control,kleinwagen,2009,manuell,80,polo,100000,5,benzin,volkswagen,nein
privat,Angebot,3999,control,kleinwagen,2002,manuell,75,polo,100000,12,benzin,volkswagen,nein
privat,Angebot,5200,control,kleinwagen,2008,manuell,60,polo,80000,10,benzin,volkswagen,nein
privat,Angebot,14700,control,kleinwagen,2015,manuell,75,polo,10000,5,benzin,volkswagen,nein
privat,Angebot,2300,control,kleinwagen,1996,manuell,60,polo,50000,2,benzin,volkswagen,nein
privat,Angebot,8390,control,kleinwagen,2012,manuell,60,polo,50000,3,benzin,volkswagen,nein
privat,Angebot,4500,control,kleinwagen,2007,manuell,64,polo,90000,3,benzin,volkswagen,nein
privat,Angebot,8899,control,kleinwagen,2012,manuell,69,polo,30000,3,benzin,volkswagen,nein
privat,Angebot,6500,control,kleinwagen,2008,manuell,60,polo,50000,4,benzin,volkswagen,nein
privat,Angebot,7800,control,kleinwagen,2011,manuell,69,polo,100000,3,benzin,volkswagen,nein
privat,Angebot,6900,control,kleinwagen,2008,manuell,80,polo,60000,11,benzin,volkswagen,nein
privat,Angebot,7999,control,kleinwagen,2010,manuell,60,polo,50000,10,benzin,volkswagen,nein
privat,Angebot,8800,control,kleinwagen,2010,manuell,60,polo,30000,6,benzin,volkswagen,nein
privat,Angebot,8666,control,kleinwagen,2010,manuell,69,polo,50000,10,benzin,volkswagen,nein
privat,Angebot,5900,control,kleinwagen,2009,manuell,69,polo,90000,2,benzin,volkswagen,nein
privat,Angebot,3940,control,kleinwagen,2005,manuell,54,polo,50000,3,benzin,volkswagen,nein
privat,Angebot,4795,control,kleinwagen,2008,manuell,60,polo,80000,12,benzin,volkswagen,nein
privat,Angebot,5100,control,kleinwagen,2006,manuell,75,polo,40000,3,benzin,volkswagen,nein
privat,Angebot,690,control,kleinwagen,1998,manuell,50,polo,90000,5,benzin,volkswagen,nein
privat,Angebot,5555,control,kleinwagen,2007,manuell,64,polo,90000,3,benzin,volkswagen,nein
privat,Angebot,3500,control,kleinwagen,2009,manuell,69,polo,100000,3,benzin,volkswagen,nein
privat,Angebot,8600,control,kleinwagen,2011,manuell,60,polo,30000,5,benzin,volkswagen,nein
privat,Angebot,9050,control,kleinwagen,2012,manuell,70,polo,100000,1,benzin,volkswagen,nein
privat,Angebot,3899,control,kleinwagen,2006,manuell,64,polo,100000,6,benzin,volkswagen,nein
privat,Angebot,7500,control,kleinwagen,2010,manuell,69,polo,70000,1,benzin,volkswagen,nein
privat,Angebot,6250,control,kleinwagen,2007,manuell,69,polo,60000,10,benzin,volkswagen,nein
privat,Angebot,500,control,kleinwagen,1994,manuell,45,polo,90000,4,benzin,volkswagen,nein
privat,Angebot,9800,control,kleinwagen,2009,manuell,86,polo,60000,9,benzin,volkswagen,nein
privat,Angebot,8500,control,kleinwagen,2011,manuell,60,polo,40000,9,benzin,volkswagen,nein
privat,Angebot,10475,control,kleinwagen,2012,manuell,86,polo,40000,1,benzin,volkswagen,nein
privat,Angebot,7750,control,kleinwagen,2012,manuell,60,polo,50000,8,benzin,volkswagen,nein
privat,Angebot,4699,control,kleinwagen,2008,manuell,60,polo,90000,12,benzin,volkswagen,nein
privat,Angebot,9500,control,kleinwagen,2011,manuell,86,polo,60000,12,benzin,volkswagen,nein
privat,Angebot,4000,control,kleinwagen,2003,manuell,64,polo,90000,2,benzin,volkswagen,nein
privat,Angebot,12400,control,kleinwagen,2014,manuell,90,polo,40000,3,benzin,volkswagen,nein
privat,Angebot,12000,control,kleinwagen,2012,manuell,90,polo,40000,4,benzin,volkswagen,nein
privat,Angebot,9500,control,kleinwagen,2012,manuell,60,polo,20000,3,benzin,volkswagen,nein
privat,Angebot,6250,control,kleinwagen,2008,manuell,80,polo,80000,4,benzin,volkswagen,nein
privat,Angebot,800,control,kleinwagen,1997,manuell,50,polo,100000,2,benzin,volkswagen,nein
privat,Angebot,2999,control,kleinwagen,2002,manuell,75,polo,80000,4,benzin,volkswagen,nein
privat,Angebot,6500,control,kleinwagen,2010,manuell,69,polo,60000,6,benzin,volkswagen,nein
privat,Angebot,4200,control,kleinwagen,2007,manuell,60,polo,80000,8,benzin,volkswagen,nein
privat,Angebot,4950,control,kleinwagen,2005,manuell,64,polo,80000,8,benzin,volkswagen,nein
privat,Angebot,10900,control,kleinwagen,2014,manuell,69,polo,20000,3,benzin,volkswagen,nein
privat,Angebot,7900,control,kleinwagen,2011,manuell,60,polo,60000,1,benzin,volkswagen,nein
privat,Angebot,1899,control,kleinwagen,2002,manuell,50,polo,100000,3,benzin,volkswagen,nein
privat,Angebot,4200,control,kleinwagen,2005,manuell,64,polo,70000,9,benzin,volkswagen,nein
privat,Angebot,3000,control,kleinwagen,1997,manuell,60,polo,100000,1,benzin,volkswagen,nein
privat,Angebot,4000,control,kleinwagen,2006,manuell,54,polo,100000,4,benzin,volkswagen,nein
privat,Angebot,1299,control,kleinwagen,1997,manuell,50,polo,100000,3,benzin,volkswagen,nein
privat,Angebot,12990,control,kleinwagen,2015,manuell,90,polo,20000,1,benzin,volkswagen,nein
privat,Angebot,1100,control,kleinwagen,1999,manuell,50,polo,90000,4,benzin,volkswagen,nein
privat,Angebot,5450,control,kleinwagen,2008,manuell,69,polo,80000,5,benzin,volkswagen,nein
privat,Angebot,10900,control,kleinwagen,2012,manuell,86,polo,40000,2,benzin,volkswagen,nein
privat,Angebot,2888,control,kleinwagen,2005,manuell,54,polo,100000,2,benzin,volkswagen,nein
privat,Angebot,950,control,kleinwagen,1998,manuell,75,polo,70000,3,benzin,volkswagen,nein
privat,Angebot,3200,control,kleinwagen,2003,manuell,54,polo,70000,11,benzin,volkswagen,nein
privat,Angebot,5000,control,kleinwagen,2007,manuell,80,polo,80000,3,benzin,volkswagen,nein
privat,Angebot,7350,control,kleinwagen,2009,manuell,80,polo,40000,4,benzin,volkswagen,nein
privat,Angebot,8500,control,kleinwagen,2010,manuell,69,polo,60000,11,benzin,volkswagen,nein
privat,Angebot,5300,control,kleinwagen,2007,manuell,80,polo,90000,9,benzin,volkswagen,nein
privat,Angebot,1250,control,kleinwagen,1996,manuell,45,polo,90000,4,benzin,volkswagen,nein
privat,Angebot,6450,control,kleinwagen,2009,manuell,60,polo,50000,1,benzin,volkswagen,nein
privat,Angebot,12900,control,kleinwagen,2014,manuell,90,polo,20000,1,benzin,volkswagen,nein
privat,Angebot,12500,control,kleinwagen,2014,manuell,60,polo,20000,12,benzin,volkswagen,nein
privat,Angebot,500,control,kleinwagen,1993,manuell,45,polo,80000,11,benzin,volkswagen,nein
privat,Angebot,12450,control,kleinwagen,2010,manuell,69,polo,50000,7,benzin,volkswagen,nein
privat,Angebot,5800,control,kleinwagen,1992,manuell,170,polo,100000,1,benzin,volkswagen,nein
privat,Angebot,10300,control,kleinwagen,2014,manuell,90,polo,20000,6,benzin,volkswagen,nein
privat,Angebot,4200,control,kleinwagen,2003,manuell,64,polo,30000,7,benzin,volkswagen,nein
privat,Angebot,4100,control,kleinwagen,2006,manuell,54,polo,80000,2,benzin,volkswagen,nein
privat,Angebot,5500,control,kleinwagen,2007,manuell,80,polo,100000,8,benzin,volkswagen,nein
privat,Angebot,7000,control,kleinwagen,2009,manuell,69,polo,50000,12,benzin,volkswagen,nein
privat,Angebot,1350,control,kleinwagen,1991,manuell,45,polo,80000,3,benzin,volkswagen,nein
privat,Angebot,5800,control,kleinwagen,2008,manuell,80,polo,90000,3,benzin,volkswagen,nein
privat,Angebot,4300,control,kleinwagen,2003,manuell,64,polo,70000,9,benzin,volkswagen,nein
privat,Angebot,3700,control,kleinwagen,2005,manuell,54,polo,90000,10,benzin,volkswagen,nein
privat,Angebot,5200,control,kleinwagen,2005,manuell,75,polo,80000,12,benzin,volkswagen,nein
privat,Angebot,2900,control,kleinwagen,2003,manuell,54,polo,100000,11,benzin,volkswagen,nein
privat,Angebot,10400,control,kleinwagen,2011,manuell,86,polo,40000,12,benzin,volkswagen,nein
privat,Angebot,10900,control,kleinwagen,2011,manuell,105,polo,70000,5,benzin,volkswagen,nein
privat,Angebot,22800,control,kleinwagen,2015,manuell,192,polo,20000,7,benzin,volkswagen,nein
privat,Angebot,6900,control,kleinwagen,2009,manuell,69,polo,40000,5,benzin,volkswagen,nein
privat,Angebot,4895,control,kleinwagen,2007,manuell,64,polo,100000,2,benzin,volkswagen,nein
privat,Angebot,5300,control,kleinwagen,2006,manuell,64,polo,70000,6,benzin,volkswagen,nein
privat,Angebot,8990,control,kleinwagen,2012,manuell,69,polo,40000,6,benzin,volkswagen,nein
privat,Angebot,2750,control,kleinwagen,2004,manuell,54,polo,100000,11,benzin,volkswagen,nein
privat,Angebot,7500,control,kleinwagen,2008,manuell,80,polo,30000,12,benzin,volkswagen,nein
privat,Angebot,6490,control,kleinwagen,2010,manuell,70,polo,90000,12,benzin,volkswagen,nein
privat,Angebot,11550,control,kleinwagen,2013,manuell,86,polo,50000,11,benzin,volkswagen,nein
privat,Angebot,3499,control,kleinwagen,2004,manuell,64,polo,100000,2,benzin,volkswagen,nein
privat,Angebot,6299,control,kleinwagen,2009,manuell,60,polo,100000,12,benzin,volkswagen,nein
privat,Angebot,2600,control,kleinwagen,2002,manuell,54,polo,100000,5,benzin,volkswagen,nein
privat,Angebot,3200,control,kleinwagen,1991,manuell,131,polo,50000,4,benzin,volkswagen,nein
privat,Angebot,2250,control,kleinwagen,2003,manuell,64,polo,100000,7,benzin,volkswagen,nein
privat,Angebot,6250,control,kleinwagen,2008,manuell,80,polo,90000,3,benzin,volkswagen,nein
privat,Angebot,8590,control,kleinwagen,2011,manuell,86,polo,60000,3,benzin,volkswagen,nein
privat,Angebot,4750,control,kleinwagen,2000,manuell,120,polo,100000,6,benzin,volkswagen,nein
privat,Angebot,14450,control,kleinwagen,2014,manuell,90,polo,20000,10,benzin,volkswagen,nein
privat,Angebot,3600,control,kleinwagen,1979,manuell,50,polo,80000,6,benzin,volkswagen,nein
privat,Angebot,4700,control,kleinwagen,2008,manuell,80,polo,80000,5,benzin,volkswagen,nein
privat,Angebot,2500,control,kleinwagen,1997,manuell,60,polo,90000,3,benzin,volkswagen,nein
privat,Angebot,7350,control,kleinwagen,2009,manuell,69,polo,60000,3,benzin,volkswagen,nein
privat,Angebot,950,control,kleinwagen,1994,manuell,45,polo,70000,6,benzin,volkswagen,nein
privat,Angebot,6999,control,kleinwagen,1991,manuell,148,polo,50000,4,benzin,volkswagen,nein
privat,Angebot,6099,control,kleinwagen,2009,manuell,60,polo,60000,5,benzin,volkswagen,nein
privat,Angebot,5790,control,kleinwagen,2007,manuell,69,polo,80000,10,benzin,volkswagen,nein
privat,Angebot,3750,control,kleinwagen,2006,manuell,64,polo,60000,11,benzin,volkswagen,nein
privat,Angebot,8240,control,kleinwagen,2007,manuell,150,polo,80000,5,benzin,volkswagen,nein
privat,Angebot,4350,control,kleinwagen,2007,manuell,64,polo,80000,7,benzin,volkswagen,nein
privat,Angebot,7200,control,kleinwagen,2009,manuell,80,polo,70000,3,benzin,volkswagen,nein
privat,Angebot,5000,control,kleinwagen,2009,manuell,60,polo,90000,3,benzin,volkswagen,nein
privat,Angebot,3990,control,kleinwagen,2006,manuell,64,polo,100000,11,benzin,volkswagen,nein
privat,Angebot,5300,control,kleinwagen,2009,manuell,60,polo,100000,5,benzin,volkswagen,nein
privat,Angebot,5300,control,kleinwagen,2009,manuell,60,polo,80000,1,benzin,volkswagen,nein
privat,Angebot,6500,control,kleinwagen,2010,manuell,75,polo,80000,5,benzin,volkswagen,nein
privat,Angebot,8500,control,kleinwagen,2009,manuell,86,polo,40000,9,benzin,volkswagen,nein
privat,Angebot,8999,control,kleinwagen,2011,manuell,105,polo,50000,10,benzin,volkswagen,nein
privat,Angebot,5890,control,kleinwagen,2010,manuell,60,polo,100000,1,benzin,volkswagen,nein
privat,Angebot,7400,control,kleinwagen,2011,manuell,70,polo,50000,1,benzin,volkswagen,nein
privat,Angebot,7850,control,kleinwagen,2009,manuell,105,polo,90000,2,benzin,volkswagen,nein
privat,Angebot,1500,control,kleinwagen,1997,manuell,60,polo,80000,9,benzin,volkswagen,nein
privat,Angebot,3700,control,kleinwagen,2005,manuell,55,polo,80000,12,benzin,volkswagen,nein
privat,Angebot,8750,control,kleinwagen,2009,manuell,86,polo,90000,9,benzin,volkswagen,nein
privat,Angebot,8000,control,kleinwagen,2011,manuell,60,polo,90000,5,benzin,volkswagen,nein
privat,Angebot,5300,control,kleinwagen,2009,manuell,60,polo,90000,5,benzin,volkswagen,nein
privat,Angebot,5490,control,kleinwagen,2006,manuell,101,polo,100000,6,benzin,volkswagen,nein
privat,Angebot,2599,control,kleinwagen,2002,manuell,75,polo,80000,4,benzin,volkswagen,nein
privat,Angebot,8999,control,kleinwagen,2010,manuell,69,polo,60000,4,benzin,volkswagen,nein
privat,Angebot,1200,control,kleinwagen,1993,manuell,45,polo,90000,1,benzin,volkswagen,nein
privat,Angebot,5950,control,kleinwagen,2008,manuell,80,polo,60000,7,benzin,volkswagen,nein
privat,Angebot,6250,control,kleinwagen,2008,manuell,81,polo,80000,4,benzin,volkswagen,nein
privat,Angebot,2950,control,kleinwagen,2002,manuell,54,polo,90000,6,benzin,volkswagen,nein
privat,Angebot,10900,control,kleinwagen,2012,manuell,70,polo,20000,11,benzin,volkswagen,nein
privat,Angebot,2799,control,kleinwagen,2002,manuell,75,polo,100000,7,benzin,volkswagen,nein
privat,Angebot,8990,control,kleinwagen,2010,manuell,105,polo,80000,7,benzin,volkswagen,nein
privat,Angebot,6500,control,kleinwagen,2009,manuell,69,polo,70000,12,benzin,volkswagen,nein
privat,Angebot,8200,control,kleinwagen,2011,manuell,60,polo,60000,1,benzin,volkswagen,nein
privat,Angebot,5500,control,kleinwagen,2008,manuell,80,polo,80000,7,benzin,volkswagen,nein
privat,Angebot,7500,control,kleinwagen,2010,manuell,86,polo,100000,12,benzin,volkswagen,nein
privat,Angebot,6599,control,kleinwagen,2009,manuell,60,polo,20000,5,benzin,volkswagen,nein
privat,Angebot,8950,control,kleinwagen,2012,manuell,69,polo,70000,9,benzin,volkswagen,nein
privat,Angebot,7500,control,kleinwagen,2012,manuell,60,polo,20000,1,benzin,volkswagen,nein
privat,Angebot,6500,control,kleinwagen,2008,manuell,60,polo,70000,3,benzin,volkswagen,nein
privat,Angebot,2999,control,kleinwagen,2003,manuell,64,polo,100000,5,benzin,volkswagen,nein
privat,Angebot,15550,control,kleinwagen,2014,manuell,90,polo,10000,9,benzin,volkswagen,nein
privat,Angebot,6950,control,kleinwagen,2009,manuell,60,polo,50000,6,benzin,volkswagen,nein
privat,Angebot,9800,control,kleinwagen,2013,manuell,60,polo,30000,6,benzin,volkswagen,nein
privat,Angebot,590,control,kleinwagen,1986,manuell,45,polo,100000,5,benzin,volkswagen,nein
privat,Angebot,2099,control,kleinwagen,1998,manuell,50,polo,60000,10,benzin,volkswagen,nein
privat,Angebot,2400,control,kleinwagen,2001,manuell,75,polo,90000,12,benzin,volkswagen,nein
privat,Angebot,3950,control,kleinwagen,2005,manuell,64,polo,100000,11,benzin,volkswagen,nein
privat,Angebot,8800,control,kleinwagen,2012,manuell,90,polo,40000,3,benzin,volkswagen,nein
privat,Angebot,7790,control,kleinwagen,2010,manuell,69,polo,40000,6,benzin,volkswagen,nein
privat,Angebot,3298,control,kleinwagen,2005,manuell,64,polo,90000,1,benzin,volkswagen,nein
privat,Angebot,1350,control,kleinwagen,1999,manuell,50,polo,100000,12,benzin,volkswagen,nein
privat,Angebot,4700,control,kleinwagen,2008,manuell,60,polo,70000,4,benzin,volkswagen,nein
privat,Angebot,3999,control,kleinwagen,2000,manuell,50,polo,60000,10,benzin,volkswagen,nein
privat,Angebot,3900,control,kleinwagen,2005,manuell,64,polo,100000,12,benzin,volkswagen,nein
privat,Angebot,2800,control,kleinwagen,2004,manuell,54,polo,100000,10,benzin,volkswagen,nein
privat,Angebot,4444,control,kleinwagen,2008,manuell,60,polo,70000,7,benzin,volkswagen,nein
privat,Angebot,3850,control,kleinwagen,2006,manuell,64,polo,100000,12,benzin,volkswagen,nein
privat,Angebot,22300,control,kleinwagen,2013,manuell,220,polo,40000,11,benzin,volkswagen,nein
privat,Angebot,3990,control,kleinwagen,2005,manuell,54,polo,100000,5,benzin,volkswagen,nein
privat,Angebot,9300,control,kleinwagen,2011,manuell,86,polo,90000,4,benzin,volkswagen,nein
privat,Angebot,6200,control,kleinwagen,2008,manuell,69,polo,60000,12,benzin,volkswagen,nein
privat,Angebot,14950,control,kleinwagen,2014,manuell,90,polo,20000,7,benzin,volkswagen,nein
privat,Angebot,4350,control,kleinwagen,2007,manuell,60,polo,90000,11,benzin,volkswagen,nein
privat,Angebot,10000,control,kleinwagen,2013,manuell,85,polo,50000,9,benzin,volkswagen,nein
privat,Angebot,7700,control,kleinwagen,2009,manuell,69,polo,50000,9,benzin,volkswagen,nein
privat,Angebot,1400,control,kleinwagen,1998,manuell,60,polo,90000,3,benzin,volkswagen,nein
privat,Angebot,6500,control,kleinwagen,2010,manuell,60,polo,60000,10,benzin,volkswagen,nein
privat,Angebot,5500,control,kleinwagen,2007,manuell,60,polo,70000,7,benzin,volkswagen,nein
privat,Angebot,10900,control,kleinwagen,2014,manuell,75,polo,40000,7,benzin,volkswagen,nein
privat,Angebot,2400,control,kleinwagen,2000,manuell,60,polo,80000,9,benzin,volkswagen,nein
privat,Angebot,749,control,kleinwagen,1990,manuell,54,polo,90000,7,benzin,volkswagen,nein
privat,Angebot,14900,control,kleinwagen,2013,manuell,105,polo,20000,8,benzin,volkswagen,nein
privat,Angebot,11999,control,kleinwagen,2012,manuell,105,polo,30000,11,benzin,volkswagen,nein
privat,Angebot,9999,control,kleinwagen,2010,manuell,105,polo,90000,4,benzin,volkswagen,nein
privat,Angebot,9000,control,kleinwagen,2013,manuell,60,polo,60000,10,benzin,volkswagen,nein
privat,Angebot,7450,control,kleinwagen,2011,manuell,60,polo,50000,9,benzin,volkswagen,nein
privat,Angebot,1000,control,kleinwagen,1995,manuell,54,polo,70000,6,benzin,volkswagen,nein
privat,Angebot,3500,control,kleinwagen,2004,manuell,64,polo,100000,1,benzin,volkswagen,nein
privat,Angebot,8490,control,kleinwagen,2011,manuell,60,polo,60000,8,benzin,volkswagen,nein
privat,Angebot,4999,control,kleinwagen,2005,manuell,75,polo,100000,8,benzin,volkswagen,nein
privat,Angebot,9700,control,kleinwagen,2009,manuell,86,polo,70000,11,benzin,volkswagen,nein
